sample_in_period,mean_error_deg,stat_std_deg,single_std_deg,total_std_deg,outlier
0.0,0.051362858694639205,0.00902870128029697,0.1655173571786438,0.16576342471791414,1
1.0000098520764182,0.13446397187260573,0.013172488484308796,0.3049729891649781,0.30525733172700553,1
2.0000197041528365,0.14277008773414934,0.010361755563282428,0.3280430341051181,0.3282066394868405,1
3.0000295562292547,0.09577093554261434,0.03392495962576027,0.3342163636749999,0.3359337444106341,0
4.000039408305673,0.08683209380603153,0.02897537182543979,0.3792291502474255,0.3803344851177801,0
5.000049260382092,0.0692532946090166,0.014236780970941434,0.4080808514484761,0.4083291163403949,1
6.000059112458509,-0.01716717998844312,0.13526305199137384,0.4252018066697654,0.44619801616463256,0
7.000068964534927,-0.13930204446015182,0.0038608612661817673,0.4460048032802968,0.4460215138295606,1
8.000078816611346,-0.1312084613275439,0.017508963537470168,0.44947567553078865,0.4498165700571904,1
9.000088668687765,-0.11441393933392062,0.019411029373055326,0.44838798856627765,0.4488079504106784,1
10.000098520764183,-0.12191945260361889,0.020865193701820873,0.45595625233268505,0.4564334128320161,0
11.0001083728406,-0.09672786279152963,0.04833568878981916,0.4523849536847005,0.4549598720009215,0
12.000118224917019,-0.07192763666677138,0.03192147386322162,0.4477000403680662,0.44883661463740726,0
13.000128076993438,-0.07044644303959381,0.029635576469732187,0.4471959903620178,0.4481768860489787,0
14.000137929069854,-0.1053349400917922,0.015029909707260399,0.44252999711407925,0.44278515843645366,0
15.000147781146273,-0.09294122590149101,0.020225787472584397,0.4338825845579565,0.43435374945035116,1
16.000157633222692,-0.08782274046402705,0.015247916228517535,0.4335845481977523,0.43385257793997356,1
17.00016748529911,-0.10386526814241392,0.018131093941186636,0.42731143759885976,0.42769592150300934,1
18.00017733737553,-0.12566007587965564,0.014831380344534427,0.4139761385915212,0.4142417327673186,0
19.000187189451946,-0.12308451610323345,0.019619371100995705,0.40167080618586093,0.40214966898456855,0
20.000197041528367,-0.11793973813027175,0.026416526764903324,0.38891429390259735,0.3898104165977055,0
21.000206893604783,-0.1505350014777049,0.023257370602973507,0.36885609156949994,0.36958858420585905,0
