sample_in_period,phase_fraction,mean_angle_deg,mean_error_deg,statistical_std_deg,single_frame_std_deg,total_std_deg,outlier
0.0,0.0,0.22468870660147963,0.04980806977422642,0.016278842954855384,0.02314514349493286,0.028296614556336547,1
1.000311328324461,0.0006277463904582549,0.4567292481149519,0.054685948142877,0.01718110242980627,0.026802557002354007,0.031836572406085596,1
2.000622656648922,0.0012554927809165098,0.7453421210365971,0.04120993108768971,0.00304317141627865,0.028928616797813174,0.029088240959253175,1
3.0009339849733827,0.0018832391713747647,1.0228696814073794,0.19799117504210811,0.1560161206314838,0.029721198135824096,0.15882184835697705,0
4.001245313297844,0.0025109855618330196,1.3285876751909962,0.27789447093525155,0.12792939343146328,0.028053475929185768,0.1309691842207606,0
5.0015566416223045,0.0031387319522912746,1.5962988014747492,0.34904835161520964,0.006527874518775455,0.028858118427327356,0.029587229422481053,1
6.001867969946765,0.0037664783427495295,1.823205458223033,0.3208891219033546,0.05102139980082604,0.029536529219302634,0.0589541329845368,0
7.002179298271226,0.004394224733207785,2.0103099665518926,0.2821810271027232,0.08000168762664883,0.029891585491895,0.08540361178738967,0
8.002490626595687,0.005021971123666039,2.1881897598088296,0.2488817004114594,0.004190487125817121,0.03021047315851129,0.030499719192359297,1
9.002801954920148,0.005649717514124295,2.349563199227467,0.24892321866363837,0.02024410429381022,0.029659209227722277,0.035909503626094186,1
10.003113283244609,0.006277463904582549,2.502619860725186,0.27385687920651663,0.017793194984801756,0.02970169839939873,0.03462352777485304,1
11.00342461156907,0.0069052102950408045,2.617795386936951,-0.013582851109754301,0.2592962986918039,0.028457835230172313,0.2608532516593512,0
12.00373593989353,0.007532956685499059,2.7027221381141384,-0.1544679360035559,0.2354200983779004,0.027217679469810647,0.2369882376743235,0
13.004047268217992,0.008160703075957313,2.807507909095145,-0.27549387178526674,0.17907683794284085,0.026097603086643353,0.18096850216121715,0
14.004358596542453,0.00878844946641557,2.9429818203392166,-0.36583161442394496,0.1051507203114403,0.0252996556283112,0.1081514981723595,0
15.004669924866914,0.009416195856873824,3.1081839825899076,-0.42644127798270687,0.04268631779088169,0.024658911066282995,0.049296892615244996,0
16.004981253191374,0.010043942247332079,3.32532852176422,-0.45610486207468737,0.004690356029976164,0.02432927821075978,0.024777272205480656,1
17.005292581515835,0.010671688637790333,3.567612375949554,-0.44094931663448733,2.5310164559565e-05,0.024287226050834845,0.024287239238925055,1
18.005603909840296,0.01129943502824859,3.8092788949817997,-0.42423043549998357,0.0008650140065791,0.024343811127488714,0.0243591746461661,1
