sample_in_period,phase_fraction,mean_angle_deg,statistical_std_deg,single_frame_std_deg,total_std_deg
0.0,0.0,79.12300366137775,8.250144054229649,0.03007796135493822,8.250198882408842
0.9999403504020417,0.0003203074951953876,79.02340704733486,8.215719102815264,0.032193459088275866,8.215782177928753
1.9998807008040833,0.0006406149903907752,78.92275412816898,8.1804811571563,0.03404665511574359,8.18055200688278
2.999821051206125,0.0009609224855861628,78.81897903518801,8.144385543686523,0.035604496135794216,8.144463368715897
3.9997614016081666,0.0012812299807815504,78.7154771240871,8.10796785569214,0.03647633668324625,8.108049905623103
4.999701752010209,0.001601537475976938,78.61321826810463,8.072428001439574,0.03546649526829673,8.072505912708415
5.99964210241225,0.0019218449711723255,78.5132094327427,8.038110435032305,0.034124450491560904,8.038182869523222
6.999582452814291,0.002242152466367713,78.40957297160331,8.001476376435422,0.03279330973648654,8.001543576324359
7.999522803216333,0.002562459961563101,78.30110455729287,7.963932530371455,0.030447310581281906,7.9639907324801875
8.999463153618375,0.0028827674567584883,78.19203729775333,7.925818199954986,0.02814870537270239,7.925868185148669
9.999403504020417,0.003203074951953876,78.08654880882877,7.888990371790605,0.027415777853296165,7.889038009230287
10.999343854422458,0.003523382447149263,77.9840440709736,7.853236791013209,0.02691796902285754,7.853282923260804
11.9992842048245,0.003843689942344651,77.8805990336278,7.817200475205947,0.02602237448248914,7.81724378752088
12.999224555226542,0.004163997437540039,77.77265120468041,7.779588428780941,0.02565161894841849,7.779630719177934
13.999164905628582,0.004484304932735426,77.66273689160185,7.741256449563107,0.025514276035140403,7.741298495484075
14.999105256030624,0.004804612427930814,77.55440387470422,7.703421875762338,0.024828332837004297,7.703461886845758
15.999045606432666,0.005124919923126202,77.45040338791182,7.667105006927071,0.02415642185603609,7.667143061138422
16.99898595683471,0.005445227418321589,77.34715437319102,7.631108929432789,0.02404813219225541,7.631146821122679
17.99892630723675,0.005765534913516977,77.2400146071265,7.593756479342277,0.023939291550294606,7.593794213516241
18.998866657638793,0.0060858424087123645,77.13170940603374,7.555962634831148,0.02391596788676344,7.5560004838859305
19.998807008040835,0.006406149903907752,77.02543788603435,7.518839750402575,0.02414973296978562,7.5188785335205655
20.998747358442873,0.0067264573991031385,76.92166388740903,7.482628367899321,0.024711748229060283,7.48266917367006
21.998687708844916,0.007046764894298526,76.81763406542821,7.446391284516522,0.025235457658458357,7.446434045262661
22.998628059246958,0.007367072389493914,76.70677700975791,7.407718889501927,0.02439218156943651,7.407759048754582
23.998568409649,0.007687379884689302,76.59594422521597,7.368924576079772,0.023596090486742535,7.368962354595029
24.998508760051042,0.008007687379884689,76.49445899077503,7.333502146173141,0.024485893468201007,7.333543024139492
25.998449110453084,0.008327994875080078,76.39299220670398,7.298040776260328,0.025244289585678537,7.298084436762509
26.998389460855126,0.008648302370275465,76.2950875672539,7.263886133038437,0.02607868392521394,7.263932946517566
27.998329811257165,0.008968609865470852,76.19323654058644,7.228360165038524,0.026325875645184692,7.228408104641314
28.998270161659207,0.009288917360666239,76.08860199679832,7.191836414045034,0.02649826348205292,7.191885230198804
29.99821051206125,0.009609224855861628,75.98340430044155,7.155081387831673,0.02600605721266739,7.155128648843916
30.99815086246329,0.009929532351057015,75.88126420772547,7.119371092777893,0.025340486563208846,7.119416190737886
31.998091212865333,0.010249839846252403,75.78278324026661,7.084982826808916,0.024508763404676174,7.0850252177152395
